platform,brand,product_name,category,price,rating,ram,storage,battery,url
Myntra,Oppo,Oppo oppo-20-max,Smartphone,22737,3.8,16GB,256GB,5500mAh,https://myntra.com/oppo-oppo-model-20
Amazon,Samsung,Samsung Galaxy S21,Smartphone,67791,4.4,8GB,256GB,5500mAh,https://amazon.com/samsung-galaxy-s21
Reliance Digital,Samsung,Samsung Galaxy M34,Smartphone,25066,3.7,8GB,1TB,5500mAh,https://reliancedigital.com/samsung-galaxy-m34
Flipkart,Oppo,Oppo Oppo Reno 8,Smartphone,62762,4.1,4GB,64GB,4000mAh,https://flipkart.com/oppo-oppo-reno-8
Croma,Samsung,Samsung samsung-80,Smartphone,36104,4.6,8GB,256GB,6000mAh,https://croma.com/samsung-samsung-model-80
Croma,Xiaomi,Xiaomi Poco X5,Smartphone,34271,4.3,4GB,512GB,5000mAh,https://croma.com/xiaomi-poco-x5
Croma,OnePlus,OnePlus oneplus-49-fe,Smartphone,50113,3.6,8GB,256GB,4000mAh,https://croma.com/oneplus-oneplus-model-49
Reliance Digital,Vivo,Vivo Vivo V29,Smartphone,59898,3.5,16GB,512GB,5000mAh,https://reliancedigital.com/vivo-vivo-v29
Amazon,Google,Google Pixel 8,Smartphone,40294,4.4,16GB,64GB,5000mAh,https://amazon.com/google-pixel-8
Croma,Motorola,Motorola motorola-79-pro,Smartphone,28435,4.5,12GB,128GB,5000mAh,https://croma.com/motorola-motorola-model-79
Amazon,Oppo,Oppo Oppo A78,Smartphone,78715,4.4,6GB,512GB,5500mAh,https://amazon.com/oppo-oppo-a78
Amazon,Apple,Apple iPhone 11,Smartphone,39729,3.6,4GB,128GB,4500mAh,https://amazon.com/apple-iphone-11
Myntra,OnePlus,OnePlus OnePlus 9,Smartphone,48131,4.7,4GB,256GB,4500mAh,https://myntra.com/oneplus-oneplus-9
Croma,Apple,Apple apple-52-ultra,Smartphone,65917,4.4,6GB,1TB,4000mAh,https://croma.com/apple-apple-model-52
Reliance Digital,Samsung,Samsung Galaxy A54,Smartphone,18413,4.2,16GB,1TB,5000mAh,https://reliancedigital.com/samsung-galaxy-a54
Myntra,Oppo,Oppo Oppo F21,Smartphone,79487,4.6,6GB,256GB,4500mAh,https://myntra.com/oppo-oppo-f21
Croma,Motorola,Motorola Moto G84,Smartphone,61393,4.4,8GB,64GB,5500mAh,https://croma.com/motorola-moto-g84
Reliance Digital,Motorola,Motorola Moto G54,Smartphone,49911,4.1,6GB,128GB,5000mAh,https://reliancedigital.com/motorola-moto-g54
Croma,Google,Google Pixel 6a,Smartphone,60682,4.2,6GB,128GB,6000mAh,https://croma.com/google-pixel-6a
Flipkart,Xiaomi,Xiaomi Redmi Note 10,Smartphone,67862,5.0,4GB,64GB,6000mAh,https://flipkart.com/xiaomi-redmi-note-10
Reliance Digital,Xiaomi,Xiaomi Redmi Note 11,Smartphone,26459,4.5,12GB,512GB,4000mAh,https://reliancedigital.com/xiaomi-redmi-note-11
Croma,Apple,Apple iPhone 13,Smartphone,25119,4.8,16GB,512GB,6000mAh,https://croma.com/apple-iphone-13
Flipkart,Samsung,Samsung Galaxy S22,Smartphone,19402,3.9,12GB,64GB,6000mAh,https://flipkart.com/samsung-galaxy-s22
Croma,Oppo,Oppo oppo-85-se,Smartphone,24253,3.6,4GB,512GB,6000mAh,https://croma.com/oppo-oppo-model-85
Flipkart,Apple,Apple apple-62-plus,Smartphone,56513,5.0,4GB,512GB,4500mAh,https://flipkart.com/apple-apple-model-62
Reliance Digital,Apple,Apple apple-44,Smartphone,64148,4.8,16GB,64GB,4500mAh,https://reliancedigital.com/apple-apple-model-44
Flipkart,Samsung,Samsung samsung-40-lite,Smartphone,35459,4.4,12GB,128GB,6000mAh,https://flipkart.com/samsung-samsung-model-40
Amazon,Motorola,Motorola Moto G54,Smartphone,49783,4.2,6GB,64GB,5000mAh,https://amazon.com/motorola-moto-g54
Myntra,Apple,Apple iPhone 13,Smartphone,11165,3.6,4GB,512GB,4000mAh,https://myntra.com/apple-iphone-13
Reliance Digital,Vivo,Vivo vivo-54-neo,Smartphone,19587,4.2,16GB,256GB,5500mAh,https://reliancedigital.com/vivo-vivo-model-54
Amazon,Google,Google Pixel 8,Smartphone,63399,4.6,16GB,1TB,6000mAh,https://amazon.com/google-pixel-8
Reliance Digital,Google,Google Pixel 7a,Smartphone,63495,4.1,12GB,512GB,4000mAh,https://reliancedigital.com/google-pixel-7a
Reliance Digital,Oppo,Oppo Oppo F21,Smartphone,77106,5.0,8GB,128GB,4000mAh,https://reliancedigital.com/oppo-oppo-f21
Flipkart,Apple,Apple iPhone 12,Smartphone,56381,3.8,6GB,128GB,4000mAh,https://flipkart.com/apple-iphone-12
Myntra,Google,Google Pixel 6a,Smartphone,42553,4.4,4GB,256GB,4500mAh,https://myntra.com/google-pixel-6a
Reliance Digital,Google,Google google-87-pro,Smartphone,32785,4.3,12GB,64GB,5500mAh,https://reliancedigital.com/google-google-model-87
Croma,Xiaomi,Xiaomi Poco X5,Smartphone,59258,4.2,6GB,1TB,4000mAh,https://croma.com/xiaomi-poco-x5
Reliance Digital,Google,Google google-55-se,Smartphone,60967,4.4,6GB,1TB,5000mAh,https://reliancedigital.com/google-google-model-55
Reliance Digital,Motorola,Motorola Moto Edge 40,Smartphone,22920,3.6,8GB,512GB,6000mAh,https://reliancedigital.com/motorola-moto-edge-40
Flipkart,Apple,Apple apple-21-plus,Smartphone,60150,5.0,4GB,256GB,6000mAh,https://flipkart.com/apple-apple-model-21
Croma,OnePlus,OnePlus OnePlus 11R,Smartphone,68350,5.0,8GB,128GB,5500mAh,https://croma.com/oneplus-oneplus-11r
Croma,Vivo,Vivo vivo-84-plus,Smartphone,27077,4.2,6GB,256GB,5000mAh,https://croma.com/vivo-vivo-model-84
Amazon,OnePlus,OnePlus OnePlus 11R,Smartphone,39287,4.9,12GB,512GB,5500mAh,https://amazon.com/oneplus-oneplus-11r
Reliance Digital,Apple,Apple iPhone 15,Smartphone,44143,5.0,16GB,512GB,4500mAh,https://reliancedigital.com/apple-iphone-15
Amazon,Realme,Realme realme-38-max,Smartphone,15880,3.7,4GB,1TB,4500mAh,https://amazon.com/realme-realme-model-38
Myntra,Google,Google google-41-max,Smartphone,54074,4.9,8GB,1TB,6000mAh,https://myntra.com/google-google-model-41
Myntra,Realme,Realme realme-51-lite,Smartphone,25452,3.9,8GB,64GB,5000mAh,https://myntra.com/realme-realme-model-51
Amazon,OnePlus,OnePlus oneplus-82-max,Smartphone,52727,4.1,8GB,1TB,4500mAh,https://amazon.com/oneplus-oneplus-model-82
Amazon,Motorola,Motorola Moto Edge 40,Smartphone,40685,3.9,6GB,128GB,5000mAh,https://amazon.com/motorola-moto-edge-40
Croma,Xiaomi,Xiaomi Redmi Note 10,Smartphone,16411,3.9,12GB,1TB,6000mAh,https://croma.com/xiaomi-redmi-note-10
Amazon,Samsung,Samsung samsung-69-max,Smartphone,29698,4.4,12GB,128GB,5000mAh,https://amazon.com/samsung-samsung-model-69
Amazon,Motorola,Motorola motorola-30-lite,Smartphone,22814,3.6,4GB,256GB,4000mAh,https://amazon.com/motorola-motorola-model-30
Croma,Google,Google Pixel 6a,Smartphone,64628,3.8,16GB,128GB,5000mAh,https://croma.com/google-pixel-6a
Reliance Digital,Oppo,Oppo Oppo F21,Smartphone,33576,4.5,12GB,256GB,6000mAh,https://reliancedigital.com/oppo-oppo-f21
Reliance Digital,Realme,Realme Realme 10 Pro,Smartphone,74864,4.6,6GB,64GB,5500mAh,https://reliancedigital.com/realme-realme-10-pro
Amazon,Apple,Apple iPhone 12,Smartphone,51853,3.5,16GB,1TB,4000mAh,https://amazon.com/apple-iphone-12
Myntra,Google,Google Pixel 8,Smartphone,70380,4.3,8GB,64GB,4000mAh,https://myntra.com/google-pixel-8
Croma,Xiaomi,Xiaomi xiaomi-65-pro,Smartphone,25727,3.9,12GB,1TB,5000mAh,https://croma.com/xiaomi-xiaomi-model-65
Amazon,Motorola,Motorola Moto G84,Smartphone,78633,3.6,4GB,512GB,4000mAh,https://amazon.com/motorola-moto-g84
Reliance Digital,Xiaomi,Xiaomi Redmi Note 12,Smartphone,29877,4.9,8GB,512GB,5000mAh,https://reliancedigital.com/xiaomi-redmi-note-12
Flipkart,Samsung,Samsung samsung-69-lite,Smartphone,57051,4.1,8GB,1TB,5500mAh,https://flipkart.com/samsung-samsung-model-69
Myntra,Xiaomi,Xiaomi xiaomi-89-ultra,Smartphone,30521,4.5,8GB,128GB,5500mAh,https://myntra.com/xiaomi-xiaomi-model-89
Croma,Xiaomi,Xiaomi Mi 11X,Smartphone,62913,3.8,8GB,128GB,5500mAh,https://croma.com/xiaomi-mi-11x
Croma,Vivo,Vivo Vivo V27,Smartphone,63621,3.7,6GB,256GB,4000mAh,https://croma.com/vivo-vivo-v27
Reliance Digital,Vivo,Vivo Vivo V29,Smartphone,75142,3.7,4GB,128GB,5500mAh,https://reliancedigital.com/vivo-vivo-v29
Croma,Vivo,Vivo Vivo Y21,Smartphone,79447,4.9,4GB,512GB,5500mAh,https://croma.com/vivo-vivo-y21
Amazon,Samsung,Samsung Galaxy S23,Smartphone,9257,3.7,16GB,128GB,6000mAh,https://amazon.com/samsung-galaxy-s23
Flipkart,Oppo,Oppo Oppo Reno 8,Smartphone,44035,4.2,4GB,128GB,5500mAh,https://flipkart.com/oppo-oppo-reno-8
Amazon,Google,Google Pixel 7a,Smartphone,20587,4.2,16GB,256GB,4000mAh,https://amazon.com/google-pixel-7a
Croma,Samsung,Samsung samsung-31-x,Smartphone,53544,4.1,16GB,64GB,5500mAh,https://croma.com/samsung-samsung-model-31
Amazon,Xiaomi,Xiaomi Redmi Note 12,Smartphone,76227,4.3,16GB,512GB,5000mAh,https://amazon.com/xiaomi-redmi-note-12
Reliance Digital,Apple,Apple iPhone 11,Smartphone,66367,4.4,16GB,64GB,6000mAh,https://reliancedigital.com/apple-iphone-11
Myntra,Samsung,Samsung samsung-56-pro,Smartphone,43979,4.1,16GB,256GB,4500mAh,https://myntra.com/samsung-samsung-model-56
Reliance Digital,Vivo,Vivo Vivo V27,Smartphone,56895,3.9,6GB,64GB,5500mAh,https://reliancedigital.com/vivo-vivo-v27
Reliance Digital,Xiaomi,Xiaomi xiaomi-64,Smartphone,23355,4.2,8GB,128GB,6000mAh,https://reliancedigital.com/xiaomi-xiaomi-model-64
Croma,Realme,Realme Realme Narzo 60,Smartphone,48671,4.3,16GB,256GB,4000mAh,https://croma.com/realme-realme-narzo-60
Amazon,Xiaomi,Xiaomi Poco X5,Smartphone,11833,4.8,4GB,64GB,5000mAh,https://amazon.com/xiaomi-poco-x5
Myntra,OnePlus,OnePlus OnePlus 10R,Smartphone,49650,4.6,16GB,64GB,4500mAh,https://myntra.com/oneplus-oneplus-10r
Reliance Digital,Motorola,Motorola Moto G84,Smartphone,59799,4.5,4GB,128GB,6000mAh,https://reliancedigital.com/motorola-moto-g84
Myntra,OnePlus,OnePlus oneplus-14-se,Smartphone,31962,4.2,8GB,1TB,5500mAh,https://myntra.com/oneplus-oneplus-model-14
Amazon,Realme,Realme realme-24-fe,Smartphone,19047,4.0,12GB,128GB,5500mAh,https://amazon.com/realme-realme-model-24
Myntra,Oppo,Oppo Oppo F21,Smartphone,53128,4.1,12GB,128GB,6000mAh,https://myntra.com/oppo-oppo-f21
Amazon,Apple,Apple iPhone 11,Smartphone,18604,3.7,6GB,64GB,6000mAh,https://amazon.com/apple-iphone-11
Flipkart,Samsung,Samsung Galaxy S21,Smartphone,34904,3.6,6GB,256GB,4000mAh,https://flipkart.com/samsung-galaxy-s21
Croma,Samsung,Samsung Galaxy S22,Smartphone,18883,3.5,4GB,64GB,4500mAh,https://croma.com/samsung-galaxy-s22
Myntra,Motorola,Motorola Moto G84,Smartphone,62644,4.5,8GB,256GB,4000mAh,https://myntra.com/motorola-moto-g84
Reliance Digital,Motorola,Motorola Moto Edge 40,Smartphone,18387,4.3,12GB,256GB,6000mAh,https://reliancedigital.com/motorola-moto-edge-40
Croma,Apple,Apple iPhone 13,Smartphone,15828,4.2,6GB,512GB,4500mAh,https://croma.com/apple-iphone-13
Reliance Digital,Vivo,Vivo Vivo V27,Smartphone,54301,3.8,12GB,128GB,5500mAh,https://reliancedigital.com/vivo-vivo-v27
Myntra,OnePlus,OnePlus OnePlus 9,Smartphone,72400,4.0,4GB,128GB,5500mAh,https://myntra.com/oneplus-oneplus-9
Flipkart,Google,Google Pixel 7a,Smartphone,33022,3.8,16GB,512GB,5500mAh,https://flipkart.com/google-pixel-7a
Flipkart,Motorola,Motorola Moto G54,Smartphone,50878,4.9,8GB,64GB,4000mAh,https://flipkart.com/motorola-moto-g54
Flipkart,Apple,Apple apple-13-x,Smartphone,70953,4.4,4GB,1TB,6000mAh,https://flipkart.com/apple-apple-model-13
Croma,OnePlus,OnePlus oneplus-31-edge,Smartphone,36772,4.6,12GB,512GB,6000mAh,https://croma.com/oneplus-oneplus-model-31
Croma,Oppo,Oppo oppo-26-plus,Smartphone,27733,3.6,16GB,128GB,6000mAh,https://croma.com/oppo-oppo-model-26
Flipkart,Vivo,Vivo vivo-26-x,Smartphone,15758,3.6,8GB,128GB,5000mAh,https://flipkart.com/vivo-vivo-model-26
Reliance Digital,Google,Google Pixel 7a,Smartphone,53358,4.0,12GB,512GB,4500mAh,https://reliancedigital.com/google-pixel-7a
Myntra,Realme,Realme Realme 10 Pro,Smartphone,51731,4.0,8GB,64GB,4000mAh,https://myntra.com/realme-realme-10-pro
Myntra,Motorola,Motorola Moto Edge 40,Smartphone,65427,4.1,4GB,64GB,5500mAh,https://myntra.com/motorola-moto-edge-40
Flipkart,Samsung,Samsung Galaxy A54,Smartphone,38949,4.0,8GB,512GB,4000mAh,https://flipkart.com/samsung-galaxy-a54
Flipkart,Oppo,Oppo oppo-84-se,Smartphone,36317,3.8,4GB,64GB,4000mAh,https://flipkart.com/oppo-oppo-model-84
Amazon,Oppo,Oppo Oppo A78,Smartphone,54539,3.6,6GB,512GB,4500mAh,https://amazon.com/oppo-oppo-a78
Croma,Xiaomi,Xiaomi Redmi Note 12,Smartphone,23332,3.9,8GB,64GB,6000mAh,https://croma.com/xiaomi-redmi-note-12
Croma,Oppo,Oppo oppo-57-max,Smartphone,25448,4.2,4GB,1TB,5500mAh,https://croma.com/oppo-oppo-model-57
Amazon,Samsung,Samsung Galaxy M34,Smartphone,27090,4.1,12GB,128GB,4500mAh,https://amazon.com/samsung-galaxy-m34
Myntra,Apple,Apple iPhone 12,Smartphone,12709,4.5,6GB,64GB,5000mAh,https://myntra.com/apple-iphone-12
Croma,Apple,Apple iPhone 13,Smartphone,13696,3.6,12GB,512GB,4000mAh,https://croma.com/apple-iphone-13
Flipkart,Xiaomi,Xiaomi Redmi Note 11,Smartphone,37373,4.4,16GB,512GB,4000mAh,https://flipkart.com/xiaomi-redmi-note-11
Amazon,Apple,Apple apple-70-plus,Smartphone,67040,4.4,8GB,64GB,5500mAh,https://amazon.com/apple-apple-model-70
Amazon,Realme,Realme realme-54-neo,Smartphone,12863,4.1,12GB,256GB,4500mAh,https://amazon.com/realme-realme-model-54
Croma,Samsung,Samsung Galaxy S22,Smartphone,64196,4.5,16GB,1TB,6000mAh,https://croma.com/samsung-galaxy-s22
Croma,Apple,Apple iPhone 13,Smartphone,42314,3.6,6GB,512GB,5500mAh,https://croma.com/apple-iphone-13
Croma,Xiaomi,Xiaomi Redmi Note 10,Smartphone,52575,3.6,4GB,64GB,4000mAh,https://croma.com/xiaomi-redmi-note-10
Flipkart,OnePlus,OnePlus OnePlus 10R,Smartphone,28463,3.8,8GB,1TB,5500mAh,https://flipkart.com/oneplus-oneplus-10r
Croma,Realme,Realme realme-23-fe,Smartphone,15518,4.5,8GB,128GB,5000mAh,https://croma.com/realme-realme-model-23
Myntra,Oppo,Oppo oppo-54-neo,Smartphone,22713,4.4,8GB,256GB,5000mAh,https://myntra.com/oppo-oppo-model-54
Amazon,Realme,Realme Realme Narzo 60,Smartphone,15169,3.7,12GB,128GB,4500mAh,https://amazon.com/realme-realme-narzo-60
Flipkart,Apple,Apple apple-19,Smartphone,60282,4.6,6GB,1TB,5500mAh,https://flipkart.com/apple-apple-model-19
Amazon,Motorola,Motorola Moto Edge 40,Smartphone,77136,3.6,16GB,512GB,5000mAh,https://amazon.com/motorola-moto-edge-40
Myntra,Apple,Apple apple-79-lite,Smartphone,60469,4.6,12GB,1TB,5500mAh,https://myntra.com/apple-apple-model-79
Flipkart,Realme,Realme Realme C55,Smartphone,21510,4.2,4GB,1TB,5000mAh,https://flipkart.com/realme-realme-c55
Reliance Digital,Oppo,Oppo Oppo A78,Smartphone,21868,4.0,6GB,512GB,6000mAh,https://reliancedigital.com/oppo-oppo-a78
Myntra,Realme,Realme Realme C55,Smartphone,70002,4.8,4GB,1TB,5000mAh,https://myntra.com/realme-realme-c55
Flipkart,Xiaomi,Xiaomi xiaomi-71-lite,Smartphone,18339,4.0,6GB,64GB,5000mAh,https://flipkart.com/xiaomi-xiaomi-model-71
Amazon,Google,Google Pixel 6a,Smartphone,11651,4.7,6GB,64GB,5000mAh,https://amazon.com/google-pixel-6a
Myntra,Oppo,Oppo Oppo F21,Smartphone,49698,4.5,6GB,256GB,4000mAh,https://myntra.com/oppo-oppo-f21
Myntra,Google,Google Pixel 6a,Smartphone,70583,4.3,4GB,64GB,5000mAh,https://myntra.com/google-pixel-6a
Reliance Digital,OnePlus,OnePlus OnePlus 9,Smartphone,20367,4.7,8GB,1TB,5000mAh,https://reliancedigital.com/oneplus-oneplus-9
Croma,Vivo,Vivo vivo-61-neo,Smartphone,16084,3.9,6GB,256GB,5000mAh,https://croma.com/vivo-vivo-model-61
Flipkart,Motorola,Motorola motorola-16,Smartphone,23784,4.0,12GB,256GB,5500mAh,https://flipkart.com/motorola-motorola-model-16
Flipkart,OnePlus,OnePlus oneplus-76-plus,Smartphone,43333,3.9,12GB,512GB,4500mAh,https://flipkart.com/oneplus-oneplus-model-76
Amazon,Vivo,Vivo Vivo V27,Smartphone,75095,3.9,8GB,64GB,4000mAh,https://amazon.com/vivo-vivo-v27
Reliance Digital,Oppo,Oppo oppo-26-lite,Smartphone,30644,4.0,4GB,64GB,4000mAh,https://reliancedigital.com/oppo-oppo-model-26
Amazon,Vivo,Vivo vivo-56-se,Smartphone,24546,4.5,6GB,1TB,4500mAh,https://amazon.com/vivo-vivo-model-56
Amazon,Xiaomi,Xiaomi Redmi Note 11,Smartphone,21851,4.6,12GB,1TB,6000mAh,https://amazon.com/xiaomi-redmi-note-11
Reliance Digital,Oppo,Oppo Oppo Reno 8,Smartphone,33137,4.4,12GB,256GB,5500mAh,https://reliancedigital.com/oppo-oppo-reno-8
Reliance Digital,Samsung,Samsung Galaxy S22,Smartphone,79527,5.0,6GB,128GB,5500mAh,https://reliancedigital.com/samsung-galaxy-s22
Amazon,Motorola,Motorola Moto Edge 40,Smartphone,43041,4.9,4GB,256GB,5000mAh,https://amazon.com/motorola-moto-edge-40
Myntra,Oppo,Oppo Oppo F21,Smartphone,78031,4.0,8GB,128GB,5000mAh,https://myntra.com/oppo-oppo-f21
Reliance Digital,Google,Google Pixel 6a,Smartphone,27088,4.3,16GB,1TB,6000mAh,https://reliancedigital.com/google-pixel-6a
Croma,Xiaomi,Xiaomi xiaomi-47-pro,Smartphone,14857,3.5,4GB,256GB,5000mAh,https://croma.com/xiaomi-xiaomi-model-47
Croma,Motorola,Motorola Moto Edge 40,Smartphone,26579,3.9,6GB,64GB,6000mAh,https://croma.com/motorola-moto-edge-40
Reliance Digital,Samsung,Samsung Galaxy M34,Smartphone,58836,4.7,8GB,256GB,6000mAh,https://reliancedigital.com/samsung-galaxy-m34
Flipkart,Vivo,Vivo Vivo V27,Smartphone,50077,3.8,6GB,256GB,4000mAh,https://flipkart.com/vivo-vivo-v27
Reliance Digital,Google,Google Pixel 6a,Smartphone,60828,4.7,12GB,512GB,4500mAh,https://reliancedigital.com/google-pixel-6a
Flipkart,Samsung,Samsung Galaxy S22,Smartphone,25394,4.4,12GB,64GB,4000mAh,https://flipkart.com/samsung-galaxy-s22
Amazon,Google,Google Pixel 8,Smartphone,13651,4.4,12GB,128GB,4000mAh,https://amazon.com/google-pixel-8
Croma,Xiaomi,Xiaomi Mi 11X,Smartphone,79659,3.7,8GB,64GB,4500mAh,https://croma.com/xiaomi-mi-11x
Reliance Digital,Realme,Realme Realme Narzo 60,Smartphone,76758,4.4,4GB,256GB,4000mAh,https://reliancedigital.com/realme-realme-narzo-60
Myntra,Xiaomi,Xiaomi xiaomi-92-max,Smartphone,26042,3.6,16GB,512GB,6000mAh,https://myntra.com/xiaomi-xiaomi-model-92
Amazon,Motorola,Motorola motorola-23-plus,Smartphone,24275,3.9,16GB,64GB,6000mAh,https://amazon.com/motorola-motorola-model-23
Myntra,Google,Google google-93-fe,Smartphone,52702,4.7,6GB,1TB,4000mAh,https://myntra.com/google-google-model-93
Flipkart,Xiaomi,Xiaomi Redmi Note 12,Smartphone,67541,3.9,6GB,1TB,5500mAh,https://flipkart.com/xiaomi-redmi-note-12
Myntra,Realme,Realme realme-26-edge,Smartphone,22957,4.4,4GB,256GB,5000mAh,https://myntra.com/realme-realme-model-26
Flipkart,Motorola,Motorola motorola-24-plus,Smartphone,20833,4.2,8GB,256GB,6000mAh,https://flipkart.com/motorola-motorola-model-24
Croma,Vivo,Vivo vivo-60-edge,Smartphone,33402,4.1,4GB,128GB,5000mAh,https://croma.com/vivo-vivo-model-60
Reliance Digital,Vivo,Vivo Vivo V27,Smartphone,40044,3.9,6GB,128GB,4000mAh,https://reliancedigital.com/vivo-vivo-v27
Amazon,Oppo,Oppo Oppo A78,Smartphone,64115,4.3,6GB,512GB,6000mAh,https://amazon.com/oppo-oppo-a78
Myntra,Realme,Realme Realme Narzo 60,Smartphone,62491,4.9,6GB,256GB,5500mAh,https://myntra.com/realme-realme-narzo-60
Myntra,OnePlus,OnePlus OnePlus 10R,Smartphone,43336,3.7,12GB,256GB,4500mAh,https://myntra.com/oneplus-oneplus-10r
Flipkart,Motorola,Motorola motorola-47-se,Smartphone,35124,4.0,8GB,64GB,5000mAh,https://flipkart.com/motorola-motorola-model-47
Croma,Motorola,Motorola Moto Edge 40,Smartphone,48261,4.8,12GB,256GB,5000mAh,https://croma.com/motorola-moto-edge-40
Reliance Digital,Oppo,Oppo Oppo Reno 8,Smartphone,52003,4.2,12GB,64GB,6000mAh,https://reliancedigital.com/oppo-oppo-reno-8
Flipkart,Oppo,Oppo oppo-84-ultra,Smartphone,30203,4.2,6GB,1TB,4500mAh,https://flipkart.com/oppo-oppo-model-84
Myntra,Google,Google google-32-pro,Smartphone,55156,4.9,8GB,256GB,5500mAh,https://myntra.com/google-google-model-32
Myntra,Realme,Realme Realme Narzo 60,Smartphone,29928,5.0,4GB,128GB,6000mAh,https://myntra.com/realme-realme-narzo-60
Amazon,Motorola,Motorola motorola-71-pro,Smartphone,26253,3.9,12GB,128GB,4000mAh,https://amazon.com/motorola-motorola-model-71
Amazon,Vivo,Vivo Vivo Y36,Smartphone,73741,5.0,4GB,256GB,5000mAh,https://amazon.com/vivo-vivo-y36
Croma,Oppo,Oppo oppo-92-lite,Smartphone,25888,4.1,16GB,512GB,6000mAh,https://croma.com/oppo-oppo-model-92
Flipkart,Realme,Realme Realme Narzo 60,Smartphone,71090,3.9,16GB,1TB,6000mAh,https://flipkart.com/realme-realme-narzo-60
Amazon,Oppo,Oppo oppo-60,Smartphone,18495,4.2,6GB,1TB,5500mAh,https://amazon.com/oppo-oppo-model-60
Myntra,Xiaomi,Xiaomi Redmi Note 11,Smartphone,24665,4.7,4GB,128GB,6000mAh,https://myntra.com/xiaomi-redmi-note-11
Flipkart,Motorola,Motorola motorola-97-edge,Smartphone,20091,4.6,4GB,1TB,5000mAh,https://flipkart.com/motorola-motorola-model-97
Flipkart,Motorola,Motorola Moto G54,Smartphone,71776,4.8,16GB,512GB,4500mAh,https://flipkart.com/motorola-moto-g54
Flipkart,Apple,Apple apple-26-se,Smartphone,50159,4.4,6GB,64GB,5000mAh,https://flipkart.com/apple-apple-model-26
Myntra,Google,Google google-97-pro,Smartphone,43890,4.0,12GB,512GB,5000mAh,https://myntra.com/google-google-model-97
Reliance Digital,Vivo,Vivo Vivo Y21,Smartphone,41132,4.9,6GB,128GB,5500mAh,https://reliancedigital.com/vivo-vivo-y21
Croma,Vivo,Vivo vivo-37,Smartphone,26845,4.1,8GB,1TB,4000mAh,https://croma.com/vivo-vivo-model-37
Croma,Google,Google google-81-pro,Smartphone,40256,4.4,16GB,512GB,4000mAh,https://croma.com/google-google-model-81
Amazon,Xiaomi,Xiaomi xiaomi-47-max,Smartphone,20935,3.5,12GB,512GB,4500mAh,https://amazon.com/xiaomi-xiaomi-model-47
Reliance Digital,Apple,Apple iPhone 14,Smartphone,12709,4.7,4GB,256GB,4000mAh,https://reliancedigital.com/apple-iphone-14
Reliance Digital,Oppo,Oppo oppo-17-max,Smartphone,42524,4.2,12GB,256GB,4500mAh,https://reliancedigital.com/oppo-oppo-model-17
Amazon,Xiaomi,Xiaomi xiaomi-31-x,Smartphone,19892,3.9,16GB,512GB,4000mAh,https://amazon.com/xiaomi-xiaomi-model-31
Croma,Motorola,Motorola Moto G54,Smartphone,24878,4.0,12GB,64GB,4500mAh,https://croma.com/motorola-moto-g54
